No.,会社名,設立年,代表者名,従業員数,住所,会社URL
208,株式会社サントップロジテム,1997年, - ,1000人以上,埼玉県三郷市戸ヶ崎1-15,https://suntoplogi.co.jp/
209,NX商事株式会社,1964年, - ,1000人以上,東京都港区海岸1-14-22,https://www.nittsushoji.co.jp/
210,ケイヒン株式会社,1947年, - ,1000人以上,東京都港区海岸3-4-20,https://www.keihin.co.jp/
211,株式会社ナカムラロジスティクス,1947年, - ,1000人以上,東京都港区芝浦2-3-39,https://www.nli.jp/
212,三菱倉庫株式会社,1887年, - ,1000人以上,東京都中央区日本橋1-19-1,https://www.mitsubishi-logistics.co.jp/
213,SBSリコーロジスティクス株式会社,1964年, - ,500-999人,東京都新宿区西新宿8-17-1　住友不動産新宿グランドタワー 25階,https://www.sbs-ricohlogistics.co.jp/
214,三信倉庫株式会社,1955年, - ,30-99人,東京都中央区京橋1-1-5 セントラルビル11階,https://www.loop-mx.co.jp/
215,株式会社宇徳,1915年, - ,1000人以上,神奈川県横浜市中区弁天通6-85,https://www.utoc.co.jp/
216,伊藤忠ロジスティクス株式会社,1961年, - ,1000人以上,東京都港区東新橋一丁目5番2号汐留シティセンター13F,http://www.itclogi.com/
217,多摩運送株式会社,1949年, - ,1000人以上,東京都立川市富士見町6-49-18,http://www.tamaunsou.co.jp/
218,秋元運輸倉庫株式会社,1955年, - ,1000人以上,東京都港区海岸3丁目30番1号,https://amlogs.co.jp/
219,SBSフレック株式会社,1999年, - ,1000人以上,東京都墨田区太平四丁目1番3号 オリナスタワー 11階,https://www.sbs-flec.co.jp/
