No.,会社名,設立年,代表者名,従業員数,住所,会社URL
126,小林社会保険労務士事務所,1905年, - , - ,本町5-37-2,https://www.kobayashi-sr.info/index.html
127,穴井りゅうじ社会保険労務士事務所,2002年, - ,5-9人,熊本県熊本市南区八幡6-7-43,http://anai-office.jp/
128,ななせ総合事務所,2001年, - ,10-29人,大分県大分市荷揚町6番16号　スカイメゾン外苑207号,http://www.nanase.biz/
129,川添社会保険労務士事務所,1996年, - , - ,兵庫県宝塚市伊孑志３丁目２－１　プリムローズ逆瀬川４０２号,http://www.sr-kawasoe.jp/
130,名古屋社会保険労務士法人, - , - , - ,愛知県名古屋市中村区名駅5丁目3番21号 いとうビル4B,http://www.sr-nagoya.com/
131,社会保険労務士法人クローバー, - , - , - ,沖縄県那覇市繁多川3-8-25,https://www.sr-clover.or.jp/
132,Sen社会保険労務士法人, - , - , - ,広島県広島市中区立町１−２４広島有信ビル8F,http://www.romu-kanri.com/
133,森下労務管理事務所,1973年, - ,5-9人,栃木県宇都宮市下川俣町206-163,http://e-roumu.net/
134,KOYAMA社会保険労務士事務所,2002年,小山 裕司,10-29人,宮城県仙台市青葉区花京院1-5-10 ウエストプラザ花京院1F,http://www.koyama-jimusho.com/
135,社会保険労務士・行政書士大島事務所, - , - , - ,岡山県倉敷市西富井629-77,http://www.oshima-sr.com/
136,社会保険労務士江尻事務所,1998年, - , - ,沖縄県那覇市金城5-8-10  赤嶺ビル2F,http://www.e-jimusho.jp/
137,社会保険労務士事務所 インサイドフィールド, - , - , - ,滋賀県東近江市垣見町1541-2F,http://www.insidefield.jp/
138,社会保険労務士平山事務所, - , - , - ,岡山県津山市上紺屋町41,http://tsuyama-sr.com/
139,あおぞら社会保険労務士法人,2009年, - , - ,岡山県岡山市中区浜604番3号 トラストビル602,http://www.roumusos.jp/
140,平良総合事務所,2005年, - , - ,沖縄県那覇市小禄214,https://www.taira2017.com/
141,あべ行政書士事務所/社会保険労務士事務所, - , - , - ,香川県高松市中野町29番地5 高松プラザビル３階,http://absodan.web.fc2.com/
142,フェリタス社会保険労務士法人,2004年, - ,10-29人,神奈川県厚木市旭町1-22-20 ハラダ旭町ビル6F,http://www.ishikawa-sk.com/
143,セトナ綜合事務所,2008年, - , - ,埼玉県比企郡吉見町地頭方275番地,http://setona.main.jp/
144,ペガサスコンサルティンググループ　伊藤社会保険労務士事務所, - , - , - ,静岡県藤枝市田沼3-23-35,http://www.roumu-110.co.jp/
145,社会保険労務士法人マッチアップ, - , - , - ,福岡県福岡市東区多の津1丁目14-1 FRCビル9階,http://www.e-roumu.com/
146,社会保険労務士きくち事務所,2006年, - ,1-4人,宮城県石巻市渡波字中三勺1-55,http://office-sr.ciao.jp/
147,社会保険労務士法人SOPHIA（ソフィア）,2004年, - ,10-29人,福岡県福岡市中央区大手門3-1-1-5F,https://sr-sophia.com/
148,木戸社会保険労務士事務所,1970年, - , - ,山口県防府市戎町２−４−２２,http://www.kido-office.jp/
149,みやこ社会保険労務士事務所, - , - , - ,兵庫県西脇市野村町1795番地201,http://www.miyakojimusyo.com/
150,社会保険労務士法人TSR,1999年, - , - ,和歌山県和歌山市中之島1508-2 田中ビル3F,http://tsyarousi.com/
151,社会保険労務士オフィスエボリューション,2013年, - ,1-4人,神奈川県横浜市都筑区中川中央1-22-16　ロイヤルシティⅡ801,https://sr-office-evolution.com/
152,フクシマ社会保険労務士法人, - , - ,10-29人,広島県広島市中区十日市町1丁目1-9 相生通り鷹匠ビル2F,http://www.jinji-fuku.jp/
153,社会保険労務士法人牧江＆パートナーズ事務所,1977年, - ,30-99人,兵庫県西宮市和上町５番９号　西宮ビル,http://www.makie-office.com/
154,社会保険労務士法人プレシャスHR,2004年,尾花　正生,10-29人,東京都千代田区神田神保町3-2-1 サンライトビル4F,http://www.roumu-enter.com/
155,庄司茂事務所, - , - ,10-29人,兵庫県神戸市中央区中山手通5-1-1 神戸山手大木ビル6Ｆ,http://www.roumpro.com/
156,社会保険労務士法人　大和総合労務事務所, - , - ,10-29人,愛知県一宮市栄４丁目６番８号　一宮商工会議所５階,http://www.yamato-sr.jp/
157,社会保険労務士法人たんぽぽ会, - , - , - ,広島県広島市安佐南区東原3丁目25-18,http://www.tanpopokai.com/
158,社会保険労務士法人村松事務所, - , - ,30-99人,静岡県浜松市浜北区本沢合829,http://www.muramatsu-roumu.jp/
159,糀谷社会保険労務士事務所,2002年, - ,10-29人,滋賀県野洲市小篠原1205　湖東ビル2階　2－2号室,http://www.office-kojitani.com/
160,社会保険労務士事務所ソーシャルブライトマネジメント,2007年, - , - ,東京都世田谷区池尻3-28-5 COLUMN82 3F,http://www.s-b-m.jp/
161,久志田社会保険労務士事務所,2009年, - , - ,新潟県新潟市中央区上所1-1-24 Ｎビル5階,http://www.kushida-office.com/
162,社会保険労務士法人　ナデック,2002年, - ,5-9人,三重県鈴鹿市白子町2926　パレンティーアオフィス101,http://www.nudec.jp/
163,株式会社ビッグバン, - , - ,1-4人,香川県高松市林町2217-15　香川産業頭脳化センタービル402,http://www.bigbang-gr.com/
164,社会保険労務士法人綜合経営労務センター,2006年, - , - ,三重県津市大門19-15 パティオビル301,http://www.jinji-roumu-consul.com/
165,大矢社会保険労務士・行政書士事務所,1997年, - ,10-29人,新潟県新潟市中央区万代3-1-1 新潟日報メディアシップ12階,https://www.ooya-sr.net/
166,株式会社TMC経営支援センター,1995年, - , - ,栃木県那須塩原市大原間西1-10-6,http://www.tmc-jinji.com/
167,村上労務経営事務所,2003年, - ,5-9人,山口県山口市泉町1番7号,http://sr-mura.com/
168,大塚労務事務所, - , - ,1-4人,東京都 豊島区池袋1-8-7 サン池袋Iビル5F,http://www.sr1-otuka.jp/
169,瀧労務管理事務所,1995年, - ,5-9人,栃木県宇都宮市岩曽町1428-307,http://www.taki-roumu.jp/
170,社会保険労務士法人ウィズロム,2006年, - , - ,兵庫県神戸市東灘区本山南町8-6-26 東神戸センタービルE棟3階S2号室,http://www.sr-okamoto.com/
171,シード社会保険労務士事務所, - , - , - ,兵庫県神戸市中央区磯辺通4丁目2番8号 田嶋ビル6階,http://seed-sr.jp/
172,社会保険労務士法人大森事務所,1976年, - ,5-9人,東京都練馬区東大泉6-19-21-401,http://www.omorijimusho.com/
173,古澤伸之社会保険労務士事務所, - , - ,1-4人,宮城県仙台市若林区荒井2丁目8-14,http://www.soumunoaibou.com/
174,社会保険労務士法人ハーモニー,2013年, - ,30-99人,千葉県千葉市中瀬1-3　幕張テクノガーデンB棟23階,https://www.sr-harmony.jp/
175,はぎの社会保険労務士法人,1905年, - ,5-9人,幕張町6-73-4,http://www.chiba-eto-office.com/
176,株式会社内山労務管理事務所,1900年, - ,30-99人,群馬県伊勢崎市昭和町4065,http://www.uchiyama-roumu.co.jp/
177,社会保険労務士法人COMMITMENT, - , - ,10-29人,福岡県福岡市中央区高砂1丁目5-15,http://s-commit.jp/
178,川越社会保険労務士事務所,1991年, - ,5-9人,宮崎県宮崎市神宮2-3-11-1F,http://www.kawagoe-roumu.jp/
179,糟谷社会保険労務士事務所,2000年, - ,5-9人,兵庫県神戸市中央区北長狭通5-1-21 福建会館ビル301,http://www.kasutani.net/
180,フロネーシス社会保険労務士法人,2005年, - , - ,大阪府大阪市中央区谷町九丁目1-22 NK谷町ビル2F,http://www.romukanri.com/
181,山下社会保険労務士事務所, - , - , - ,青森県青森市松原3-7-10,http://www.yamashita-sr.jp/
182,酒井行政書士事務所,2011年, - , - ,兵庫県姫路市亀山2-26-2,http://keiei-sakai.com/office
183,大澤社会保険労務士事務所,2008年, - ,1-4人,大阪府大阪市西区京町堀1-4-9京町橋八千代ビル6F,http://www.sr-osawa.com
184,社労士浜事務所, - , - , - ,埼玉県さいたま市西区指扇666-3,http://srh.blogdehp.ne.jp/
185,高山社会保険労務士事務所,1998年, - , - ,東京都渋谷区神南１-５-４　ロイヤルパレス原宿５階,http://www.1roumshi.com/
186,社会保険労務士法人ソリューション,2003年,小野　純,5-9人,東京都千代田区鍛冶町2-7-4 ATビル別館8F,http://www.solution.or.jp/
187,A I 社労士事務所, - , - , - ,兵庫県姫路市東延末1丁目24　Ｆビルハイツ301,http://ai-sr.com/
188,社会保険労務士法人プライムパートナーズ,2009年, - , - ,奈良県生駒市本町6-5 冨士屋ビル30A,http://sr-pp.com/
189,山内社会保険労務士事務所,2009年, - , - ,愛知県名古屋市緑区鶴が沢2丁目1406,http://www.yamaroumu.com/
190,岩井労務管理事務所,1990年, - , - ,栃木県小山市西城南３−３−２,http://www.iwai-office.com/
191,オーリンク社労士法人,2011年, - ,30-99人,本町2-2-7船橋本町プラザビル2階,http://www.odagiri-office.com/
192,社会保険労務士 吉田事務所,1970年,吉田　一郎,10-29人,東京都練馬区練馬２丁目１８−３,https://www.yoshida-office.com/index.php
193,社会保険労務士法人D・プロデュース,2005年, - ,5-9人,相生町1-15　第二東商ビル6F,http://www.d-produce.com/
194,社会保険労務士法人　大野事務所,2003年, - ,30-99人,南平台町3-8渋谷TSKビル1F,https://www.ohno-jimusho.co.jp/
195,社会保険労務士法人ユナイテッドブレインズ,2006年, - ,10-29人,太田町四丁目55番地　横浜馬車道ビル3階,http://www.u-brains-sr.com/
196,社会保険労務士法人  アーク＆パートナーズ,2007年, - ,10-29人,有楽町2-10-1東京交通会館11F,https://www.arcandpartners.com/
197,社会保険労務士法人　西村社会保険労務士事務所,1905年, - ,100-499人,東京都千代田区外神田6-8-2 福利厚生会館,http://www.nsr-office.com/
198,勝(KATU)社会保険労務士事務所, - , - ,1-4人,湊町２－１－２Y.M.A.Officeビル４Ｆ,http://www.inzai-sr.jp/
199,ソラーレ社会保険労務士法人,2015年,大谷　雄二,10-29人,東京都品川区東大井5-14-11セントポールビル7F,https://www.solare-sr.com/
200,野崎社会保険労務士事務所,2003年, - , - ,神田神保町2-40-7友輪ビル3F,http://www.nozaki-office.jp/
201,あらかわ社会保険労務士事務所, - , - , - ,埼玉県さいたま市北浦和2-3-8 ノースピアＲ105,http://www.sr-arakawa.jp/
202,社会保険労務士大澤事務所,1993年, - , - ,土呂町１丁目23番地7号　秋山商事ビル2F,http://www2s.biglobe.ne.jp/~oosawa/
