No.,会社名,設立年,代表者名,従業員数,住所,会社URL
164,株式会社アボ・デザイン,2017年,大庭 由也,1-4人,東京都江戸川区船堀3-5-26-204,https://www.abodesign.jp
165,株式会社エフ・アンド・エス,1987年, - ,1-4人,東京都渋谷区代々木2丁目39番地7 メゾン代々木302,https://www.creative-room.co.jp/
166,株式会社 ピーアンドディーヒロサワ,1965年, - ,100-499人,東京都北区浮間５丁目１５番１４号,http://www.panddhirosawa.co.jp/
167,BLUEKNOT Inc.,2021年, - ,5-9人,東京都新宿区西新宿3-2-9  新宿ワシントンホテルビル本館2F,https://www.blueknot.co.jp/
168,加陽印刷株式会社,1964年, - , - ,東京都港区南青山四丁目9番6号,http://www.kayo.co.jp/company.html
169,株式会社シーズクリエイト,1996年, - ,100-499人,大阪府八尾市弓削町南1-18,https://seedss-c.jp/
170,株式会社シー・アール・エム,2002年, - ,100-499人,愛知県名古屋市中村区名駅5-21-8 船入ビル2F・3F,https://www.crm-net.com/
171,有限会社クー,2000年, - ,10-29人,東京都渋谷区千駄ヶ谷3-17−3 LAMP 北参道,https://hansokuengine.com/
172,株式会社エーディープロジェクト,1993年, - ,30-99人,東京都渋谷区代々木２-２７-４,https://www.adproject.co.jp
173,有限会社エスキューブ,2005年, - ,1-4人,東京都渋谷区桜丘町27-1エグゼクティブ渋谷,http://scb-ltd.jp/
174,デザインエッグ, - , - , - ,福岡県福岡市博多区博多駅前4-18-2,http://design-egg.jp/
175,大城印刷株式会社,1940年, - ,10-29人,東京都中央区新川1-20-6,http://www.oshiro-print.com/
176,株式会社モノクス, - , - , - ,東京都港区南青山5-4-35 青南吉川興産ビル3F,https://monokus.jp/
177,株式会社Hackusha（ハクシャ）,2018年, - ,5-9人,和歌山県和歌山市元寺町1-68 元寺町ビル2 3F,https://hackusha.jp/
178,株式会社ブライトリンク,2018年, - ,5-9人,東京都渋谷区神南1-12-14渋谷宮田ビル６F,https://www.brightlink.co.jp/
179,川口印刷工業株式会社,1914年,久保　正路,100-499人,岩手県盛岡市羽場10-1-2,https://www.kpj.co.jp
180,株式会社ネイビーグループ,2021年, - ,10-29人,東京都新宿区荒木町13-2 四谷NSビル,https://navygroup.co.jp/
181,有限会社ホクトエスピー,1987年, - ,5-9人,東京都墨田区緑2-10-15,http://www.hokutosp.com/
182,川口デザイン事務所,2010年, - ,1-4人,埼玉県本庄市日の出4-3-27,https://www.lllo.biz/
183,リサイクルトナー、オフィス用品販売の株式会社フクヤ,1969年, - ,30-99人,東京都港区新橋3-3-14 田村町ビル4F,https://office-supply-store-824.business.site/
184,株式会社グリマス,2018年,野口　良太,5-9人,東京都台東区浅草橋2-27-10 NCOビル1F,http://www.gritmass.com/
185,株式会社ケンズエージェンシー,1997年, - ,10-29人,千葉県千葉市中央区末広2-13-1,https://www.kenz.ne.jp/index.html
186,kisa,2018年, - ,1-4人,東京都町田市玉川学園5-10-8-201,https://kisa.ne.jp/
187,株式会社Vipro,2016年,飯田知弘,5-9人,大阪府大阪市中央区道修町1丁目2-11 アルテビル道修町201,https://vipro.co.jp/
188,AOILO株式会社,2017年, - ,5-9人,神奈川県横浜市西区浅間町1丁目7-1,https://aoilo.co.jp/
189,フォートラン株式会社,1999年, - ,5-9人,大阪府大阪市北区紅梅町2-17,https://fortran-net.co.jp
190,株式会社アドバンプレス,1988年, - ,5-9人,東京都千代田区九段北1-7-3昭栄ビル2F,https://www.advanpress.co.jp
191,株式会社イーワン,2015年, - ,5-9人,埼玉県蕨市塚越１丁目１２ー１４,https://e-one.localinfo.jp
192,株式会社シンクスデザイニングプロ,1987年, - ,30-99人,愛知県名古屋市千種区今池5-1-5  名古屋センタープラザビル10F,https://thinks-net.com
193,株式会社ウイル・コーポレーション,1949年, - ,500-999人,石川県白山市福留町370,https://www.well-corp.jp/factory/
194,デジタルハウス有限会社,2001年,横谷幸文,5-9人,東京都品川区東五反田1丁目11-8 岩井ビル6F,https://digitalhouse.co.jp/
195,株式会社LEFANA,2009年, - ,10-29人,東京都港区北青山3-6-7 青山パラシオタワー11階,https://lefana.net/
196,有限会社三陽美術,1972年, - , - ,大阪府松原市高見ノ里3丁目16番2号,http://www.sanyoubijyutsu.co.jp/
197,山王テクノアーツ株式会社,1967年, - , - ,東京都八王子市石川町737,https://www.sanno-ta.com/
198,セントウェル印刷株式会社,1955年, - ,10-29人,大阪府大阪市北区中崎西2-2-1 東梅田八千代ビル,https://www.centwell.co.jp
199,滝川印刷株式会社,1970年, - ,30-99人,香川県木田郡三木町井上3412,http://www.takigawa-print.com/
200,株式会社ケイワンプリント,1986年, - , - ,東京都新宿区西新宿7-2-6 西新宿K-1ビル5F,https://www.k-1-print.jp/
201,株式会社BG PLUS MEDIA,2009年, - , - ,千葉県船橋市小室町901 Cｰ16,http://flyerinsatsu.co.jp/
202,株式会社宣伝館,2003年, - , - ,大阪府東大阪市高井田中4-1-19 宣伝館ビル,https://sendenkan.com/
203,アドブレンド株式会社,2015年,瀬川 貴行,5-9人,富山県富山市今泉251-1,https://www.ad-blend.com/
204,千修岩井印刷株式会社,2017年, - ,30-99人,埼玉県戸田市笹目北町1-1,https://www.senshu-iwai.co.jp/
205,KTM Consulting合同会社,2019年,根来啓輔,5-9人,東京都品川区東大井１丁目９番３２－５１２号,https://small-bizmagazine.com/
206,有限会社キューズ,1999年,山田則隆,1-4人,大阪府大阪市中央区瓦町1-5-1　601号,https://qs-office.main.jp/
207,有限会社アクセスインターナショナル,1991年, - ,5-9人,東京都中央区日本橋3-2-14　新槙町ビル別館第一 2階,http://www.access-japan.com/
208,有限会社リッキー工房,1991年, - , - ,東京都武蔵野市吉祥寺本町1-18-19　 第7みすずビル102,http://www.ricky.jp/
209,株式会社宝洋データサービス,1975年, - , - ,千葉県千葉市中央区弁天2-13-1　篠崎ビル1階,http://www.hoyo-data.co.jp/
210,株式会社クリーク・アンド・リバー社,1990年,黒崎淳,500-999人,東京都港区新橋四丁目1番1号　新虎通りCORE,https://www.cri.co.jp
211,株式会社グレエイトはんこ屋さん21,1995年, - ,30-99人,東京都台東区東上野3-37-9 かみちビル5F,http://fc-hanko21.com/
212,山陽印刷株式会社,1948年, - , - ,神奈川県横浜市金沢区福浦2-1-13,https://www.sanyoprint.co.jp/
213,有限会社エクセル・タム,2004年, - ,1000人以上,埼玉県草加市苗塚町391番地,https://www.exceltam.co.jp/
214,北川デザイン,2017年, - ,5-9人,愛知県名古屋市中川区運河通1,https://kitagawadesign.jp
215,CNV合同会社,2020年, - ,1-4人,愛知県名古屋市東区泉一丁目10番23号パムスガーデン2階パムス＆パーク220,https://cnv.co.jp/
216,株式会社DATTO,2021年,福坂幸輝,5-9人,大阪府大阪市平野区平野西5丁目3-10-3B,https://datto-inc.co.jp/
217,株式会社森の印刷屋,1999年, - ,10-29人,東京都中野区本町4-44-13 西京城西ビル2F,http://www.mi3.jp/
